MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,処置1ﾌﾗｸﾞ,手術との組み合わせ条件,処置等（１）,,処置（２）,,変更区分,有効期間,,更新日
01,0200,1,1,,胃瘻抜去術,K665-2,,,0,20240601,99999999,00000000
01,021x,1,1,,ＳＰＥＣＴ,E101,,,0,20240601,99999999,00000000
01,0220,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0230,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0260,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0270,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0280,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0290,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
01,0310,1,1,,胃瘻造設術（経皮的内視鏡下胃瘻造設術、腹腔鏡下胃瘻造設術を含む。）,K664,,,0,20240601,99999999,00000000
02,001x,1,1,,皮膚、皮下腫瘍摘出術（露出部）　長径２センチメートル未満,K0051,,,0,20240601,99999999,00000000
02,001x,1,1,,皮膚、皮下腫瘍摘出術（露出部）　長径２センチメートル以上４センチメートル未満,K0052,,,0,20240601,99999999,00000000
02,001x,1,1,,皮膚、皮下腫瘍摘出術（露出部）　長径４センチメートル以上,K0053,,,0,20240601,99999999,00000000
02,001x,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
02,001x,1,1,,分層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K0132,,,0,20240601,99999999,00000000
02,001x,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
02,001x,1,1,,全層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K013-22,,,0,20240601,99999999,00000000
02,001x,1,1,,全層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K013-23,,,0,20240601,99999999,00000000
02,001x,1,1,,全層植皮術　２００平方センチメートル以上,K013-24,,,0,20240601,99999999,00000000
02,001x,1,1,,分層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K0133,,,0,20240601,99999999,00000000
02,001x,1,1,,分層植皮術　２００平方センチメートル以上,K0134,,,0,20240601,99999999,00000000
02,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
02,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル以上１００平方センチメートル未満,K0152,,,0,20240601,99999999,00000000
02,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　１００平方センチメートル以上,K0153,,,0,20240601,99999999,00000000
02,001x,1,1,,動脈（皮）弁術、筋（皮）弁術,K016,,,0,20240601,99999999,00000000
02,001x,1,1,,遊離皮弁術（顕微鏡下血管柄付きのもの）　その他の場合,K0172,,,0,20240601,99999999,00000000
02,001x,1,1,,複合組織移植術,K019,,,0,20240601,99999999,00000000
02,001x,1,1,,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）,K020,,,0,20240601,99999999,00000000
02,001x,1,1,,粘膜移植術　４平方センチメートル未満,K0211,,,0,20240601,99999999,00000000
02,001x,1,1,,粘膜移植術　４平方センチメートル以上,K0212,,,0,20240601,99999999,00000000
02,001x,1,1,,粘膜弁手術　４平方センチメートル未満,K021-21,,,0,20240601,99999999,00000000
02,001x,1,1,,粘膜弁手術　４平方センチメートル以上,K021-22,,,0,20240601,99999999,00000000
02,001x,1,1,,組織拡張器による再建手術（一連につき）　その他の場合,K0222,,,0,20240601,99999999,00000000
02,001x,1,1,,骨移植術（軟骨移植術を含む。）　自家骨移植,K0591,,,0,20240601,99999999,00000000
02,001x,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（生体）,K0592,,,0,20240601,99999999,00000000
02,001x,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　同種骨移植（特殊なもの）,K0593ｲ,,,0,20240601,99999999,00000000
02,001x,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　その他の場合,K0593ﾛ,,,0,20240601,99999999,00000000
02,001x,1,1,,骨移植術（軟骨移植術を含む。）　自家培養軟骨移植術,K0594,,,0,20240601,99999999,00000000
02,001x,1,1,,リンパ節摘出術　長径３センチメートル未満,K6261,,,0,20240601,99999999,00000000
02,001x,1,1,,リンパ節摘出術　長径３センチメートル以上,K6262,,,0,20240601,99999999,00000000
02,001x,1,1,,脾摘出術,K711,,,0,20240601,99999999,00000000
02,0040,1,1,,リンパ節摘出術　長径３センチメートル未満,K6261,,,0,20240601,99999999,00000000
02,0040,1,1,,リンパ節摘出術　長径３センチメートル以上,K6262,,,0,20240601,99999999,00000000
02,0040,1,1,,脾摘出術,K711,,,0,20240601,99999999,00000000
02,006x,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
02,006x,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
02,006x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
02,0080,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
02,0080,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
02,0080,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
02,0080,1,1,,動脈（皮）弁術、筋（皮）弁術,K016,,,0,20240601,99999999,00000000
02,0080,1,1,,複合組織移植術,K019,,,0,20240601,99999999,00000000
02,0080,1,1,,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）,K020,,,0,20240601,99999999,00000000
02,0080,1,1,,粘膜移植術　４平方センチメートル未満,K0211,,,0,20240601,99999999,00000000
02,0080,1,1,,粘膜移植術　４平方センチメートル以上,K0212,,,0,20240601,99999999,00000000
02,0080,1,1,,骨移植術（軟骨移植術を含む。）　自家骨移植,K0591,,,0,20240601,99999999,00000000
02,0080,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（生体）,K0592,,,0,20240601,99999999,00000000
02,0080,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　同種骨移植（特殊なもの）,K0593ｲ,,,0,20240601,99999999,00000000
02,0080,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　その他の場合,K0593ﾛ,,,0,20240601,99999999,00000000
02,0080,1,1,,骨移植術（軟骨移植術を含む。）　自家培養軟骨移植術,K0594,,,0,20240601,99999999,00000000
02,0110,1,1,,角膜移植術,K259,,,0,20240601,99999999,00000000
02,0130,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0130,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0130,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0130,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0160,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0160,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0160,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0160,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　虹彩切除術,K2681,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　流出路再建術　眼内法,K2682ｲ,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　流出路再建術　その他のもの,K2682ﾛ,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　濾過手術,K2683,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　緑内障治療用インプラント挿入術（プレートのないもの）,K2684,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　緑内障治療用インプラント挿入術（プレートのあるもの）,K2685,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　水晶体再建術併用眼内ドレーン挿入術,K2686,,,0,20240601,99999999,00000000
02,0180,1,1,,緑内障手術　濾過胞再建術（ｎｅｅｄｌｅ法）,K2687,,,0,20240601,99999999,00000000
02,0180,1,1,,毛様体光凝固術　眼内内視鏡を用いるもの,K2711,,,0,20240601,99999999,00000000
02,0180,1,1,,毛様体光凝固術　その他のもの,K2712,,,0,20240601,99999999,00000000
02,0180,1,1,,毛様体冷凍凝固術,K272,,,0,20240601,99999999,00000000
02,0180,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0180,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0180,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0180,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0200,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0200,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0200,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0200,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　虹彩切除術,K2681,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　流出路再建術　眼内法,K2682ｲ,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　流出路再建術　その他のもの,K2682ﾛ,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　濾過手術,K2683,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　緑内障治療用インプラント挿入術（プレートのないもの）,K2684,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　緑内障治療用インプラント挿入術（プレートのあるもの）,K2685,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　水晶体再建術併用眼内ドレーン挿入術,K2686,,,0,20240601,99999999,00000000
02,0210,1,2,,緑内障手術　濾過胞再建術（ｎｅｅｄｌｅ法）,K2687,,,0,20240601,99999999,00000000
02,0210,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0210,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0210,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0210,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0220,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0220,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0220,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0220,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0240,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0240,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0240,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0240,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
02,0340,1,1,,水晶体再建術　眼内レンズを挿入する場合　縫着レンズを挿入するもの,K2821ｲ,,,0,20240601,99999999,00000000
02,0340,1,1,,水晶体再建術　眼内レンズを挿入する場合　その他のもの,K2821ﾛ,,,0,20240601,99999999,00000000
02,0340,1,1,,水晶体再建術　眼内レンズを挿入しない場合,K2822,,,0,20240601,99999999,00000000
02,0340,1,1,,水晶体再建術　計画的後嚢切開を伴う場合,K2823,,,0,20240601,99999999,00000000
03,001x,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
03,001x,1,1,,分層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K0132,,,0,20240601,99999999,00000000
03,001x,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
03,001x,1,1,,全層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K013-22,,,0,20240601,99999999,00000000
03,001x,1,1,,全層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K013-23,,,0,20240601,99999999,00000000
03,001x,1,1,,全層植皮術　２００平方センチメートル以上,K013-24,,,0,20240601,99999999,00000000
03,001x,1,1,,分層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K0133,,,0,20240601,99999999,00000000
03,001x,1,1,,分層植皮術　２００平方センチメートル以上,K0134,,,0,20240601,99999999,00000000
03,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
03,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル以上１００平方センチメートル未満,K0152,,,0,20240601,99999999,00000000
03,001x,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　１００平方センチメートル以上,K0153,,,0,20240601,99999999,00000000
03,001x,1,1,,動脈（皮）弁術、筋（皮）弁術,K016,,,0,20240601,99999999,00000000
03,001x,1,1,,遊離皮弁術（顕微鏡下血管柄付きのもの）　その他の場合,K0172,,,0,20240601,99999999,00000000
03,001x,1,1,,複合組織移植術,K019,,,0,20240601,99999999,00000000
03,001x,1,1,,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）,K020,,,0,20240601,99999999,00000000
03,001x,1,1,,神経縫合術　その他のもの,K1822,,,0,20240601,99999999,00000000
03,001x,1,1,,神経移植術,K198,,,0,20240601,99999999,00000000
03,0150,1,1,,顔面神経麻痺形成手術　静的なもの,K0111,,,0,20240601,99999999,00000000
03,0150,1,1,,顔面神経麻痺形成手術　動的なもの,K0112,,,0,20240601,99999999,00000000
03,0150,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
03,0150,1,1,,分層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K0132,,,0,20240601,99999999,00000000
03,0150,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
03,0150,1,1,,全層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K013-22,,,0,20240601,99999999,00000000
03,0150,1,1,,全層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K013-23,,,0,20240601,99999999,00000000
03,0150,1,1,,全層植皮術　２００平方センチメートル以上,K013-24,,,0,20240601,99999999,00000000
03,0150,1,1,,分層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K0133,,,0,20240601,99999999,00000000
03,0150,1,1,,分層植皮術　２００平方センチメートル以上,K0134,,,0,20240601,99999999,00000000
03,0150,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
03,0150,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル以上１００平方センチメートル未満,K0152,,,0,20240601,99999999,00000000
03,0150,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　１００平方センチメートル以上,K0153,,,0,20240601,99999999,00000000
03,0150,1,1,,動脈（皮）弁術、筋（皮）弁術,K016,,,0,20240601,99999999,00000000
03,0150,1,1,,複合組織移植術,K019,,,0,20240601,99999999,00000000
03,0150,1,1,,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）,K020,,,0,20240601,99999999,00000000
03,0150,1,1,,粘膜移植術　４平方センチメートル未満,K0211,,,0,20240601,99999999,00000000
03,0150,1,1,,粘膜移植術　４平方センチメートル以上,K0212,,,0,20240601,99999999,00000000
03,0150,1,1,,粘膜弁手術　４平方センチメートル未満,K021-21,,,0,20240601,99999999,00000000
03,0150,1,1,,粘膜弁手術　４平方センチメートル以上,K021-22,,,0,20240601,99999999,00000000
03,0150,1,1,,神経縫合術　その他のもの,K1822,,,0,20240601,99999999,00000000
03,0150,1,1,,神経移行術,K197,,,0,20240601,99999999,00000000
03,0150,1,1,,神経移植術,K198,,,0,20240601,99999999,00000000
03,0150,1,1,,喉頭形成手術　人工形成材料挿置術、軟骨片挿置術,K4001,,,0,20240601,99999999,00000000
03,0150,1,1,,喉頭形成手術　筋弁転位術、軟骨転位術、軟骨除去術,K4002,,,0,20240601,99999999,00000000
03,0150,1,1,,血管移植術、バイパス移植術　頭、頸部動脈,K6144,,,0,20240601,99999999,00000000
03,0250,1,1,,終夜睡眠ポリグラフィー　１及び２以外の場合　安全精度管理下で行うもの,D2373ｲ,,,0,20240601,99999999,00000000
03,0250,1,1,,終夜睡眠ポリグラフィー　１及び２以外の場合　その他のもの,D2373ﾛ,,,0,20240601,99999999,00000000
03,0390,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
03,0390,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル以上１００平方センチメートル未満,K0152,,,0,20240601,99999999,00000000
03,0390,1,1,,皮弁作成術、移動術、切断術、遷延皮弁術　１００平方センチメートル以上,K0153,,,0,20240601,99999999,00000000
03,0390,1,1,,複合組織移植術,K019,,,0,20240601,99999999,00000000
03,0390,1,1,,自家遊離複合組織移植術（顕微鏡下血管柄付きのもの）,K020,,,0,20240601,99999999,00000000
03,0390,1,1,,筋膜移植術　その他のもの,K0332,,,0,20240601,99999999,00000000
03,0390,1,1,,骨移植術（軟骨移植術を含む。）　自家骨移植,K0591,,,0,20240601,99999999,00000000
03,0390,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（生体）,K0592,,,0,20240601,99999999,00000000
03,0390,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　同種骨移植（特殊なもの）,K0593ｲ,,,0,20240601,99999999,00000000
03,0390,1,1,,骨移植術（軟骨移植術を含む。）　同種骨移植（非生体）　その他の場合,K0593ﾛ,,,0,20240601,99999999,00000000
03,0390,1,1,,骨移植術（軟骨移植術を含む。）　自家培養軟骨移植術,K0594,,,0,20240601,99999999,00000000
03,0390,1,1,,神経縫合術　その他のもの,K1822,,,0,20240601,99999999,00000000
03,0390,1,1,,神経移植術,K198,,,0,20240601,99999999,00000000
04,0010,1,1,,人工心肺（１日につき）　初日,K6011,補助循環加算,KK03,0,20240601,99999999,00000000
04,0010,1,1,,人工心肺（１日につき）　２日目以降,K6012,補助循環加算,KK03,0,20240601,99999999,00000000
04,0020,1,1,,人工心肺（１日につき）　初日,K6011,,,0,20240601,99999999,00000000
04,0020,1,1,,人工心肺（１日につき）　２日目以降,K6012,,,0,20240601,99999999,00000000
04,0040,1,1,,気管支ファイバースコピー,D302,,,0,20240601,99999999,00000000
04,0040,1,1,,経皮的針生検法,D412,,,0,20240601,99999999,00000000
04,0040,1,1,,経気管肺生検法,D415,,,0,20240601,99999999,00000000
04,0040,1,1,,超音波気管支鏡下穿刺吸引生検法（ＥＢＵＳ－ＴＢＮＡ）,D415-2,,,0,20240601,99999999,00000000
04,0040,1,1,,経気管肺生検法（ナビゲーションによるもの）,D415-3,,,0,20240601,99999999,00000000
04,0040,1,1,,経気管肺生検法（仮想気管支鏡を用いた場合）,D415-4,,,0,20240601,99999999,00000000
04,0040,1,1,,経気管支凍結生検法,D415-5,,,0,20240601,99999999,00000000
04,0050,1,2,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル未満,K0151,,,0,20240601,99999999,00000000
04,0050,1,2,,皮弁作成術、移動術、切断術、遷延皮弁術　２５平方センチメートル以上１００平方センチメートル未満,K0152,,,0,20240601,99999999,00000000
04,0050,1,2,,皮弁作成術、移動術、切断術、遷延皮弁術　１００平方センチメートル以上,K0153,,,0,20240601,99999999,00000000
04,0050,1,2,,動脈（皮）弁術、筋（皮）弁術,K016,,,0,20240601,99999999,00000000
04,0050,1,2,,遊離皮弁術（顕微鏡下血管柄付きのもの）　その他の場合,K0172,,,0,20240601,99999999,00000000
04,0050,1,2,,複合組織移植術,K019,,,0,20240601,99999999,00000000
04,0050,1,1,,分層植皮術　２５平方センチメートル未満,K0131,,,0,20240601,99999999,00000000
04,0050,1,1,,分層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K0132,,,0,20240601,99999999,00000000
04,0050,1,1,,全層植皮術　２５平方センチメートル未満,K013-21,,,0,20240601,99999999,00000000
04,0050,1,1,,全層植皮術　２５平方センチメートル以上１００平方センチメートル未満,K013-22,,,0,20240601,99999999,00000000
04,0050,1,1,,全層植皮術　１００平方センチメートル以上２００平方センチメートル未満,K013-23,,,0,20240601,99999999,00000000
