code,level,term_type,japanese,english,needs_review
C09.0,specific,優先用語,扁桃窩,Tonsillar fossa,
C09.1,specific,優先用語,扁桃口蓋弓,Tonsillar pillar,
C09.1,specific,同義語,口峡弓,Faucial pillar,
C09.1,specific,同義語,舌口蓋ひだ,Glossopalatine fold,
C09.8,specific,優先用語,扁桃の境界部病巣,Overlapping lesion of tonsil,
C09.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C09.9,specific,優先用語,扁桃，ＮＯＳ（舌扁桃C02.4及び咽頭扁桃,"Tonsil, NOS (excludes lingual tonsil C02.4",
C09.9,specific,同義語,C11.1を除く）,and pharyngeal tonsil C11.1),
C09.9,specific,同義語,口峡扁桃,Faucial tonsil,
C09.9,specific,同義語,口蓋扁桃,Palatine tonsil,
C10,category,優先用語,中咽頭,OROPHARYNX,
C10.0,specific,優先用語,喉頭蓋谷,Vallecula,
C10.1,specific,優先用語,喉頭蓋の前面,Anterior surface of epiglottis,
C10.2,specific,優先用語,中咽頭側壁,Lateral wall of oropharynx Lateral wall of mesopharynx,
C10.3,specific,優先用語,中咽頭後壁,Posterior wall of oropharynx Posterior wall of mesopharynx,
C10.4,specific,優先用語,鰓裂（新生物〈腫瘍〉の部位▼１）,Branchial cleft (site of neoplasm),
C10.8,specific,優先用語,中咽頭の境界部病巣,Overlapping lesion of oropharynx,
C10.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C10.8,specific,同義語,中咽頭の接合部,Junctional region of oropharynx,
C10.9,specific,優先用語,中咽頭，ＮＯＳ,"Oropharynx, NOS",
C10.9,specific,同義語,口峡，ＮＯＳ,"Mesopharynx, NOS Fauces, NOS",
C11,category,優先用語,鼻咽頭（上咽頭）▼１,NASOPHARYNX,
C11.0,specific,優先用語,鼻咽頭（上咽頭）上壁,Superior wall of nasopharynx Roof of nasopharynx,
C11.1,specific,優先用語,鼻咽頭（上咽頭）後壁,Posterior wall of nasopharynx,
C11.1,specific,同義語,アデノイド,Adenoid,
C11.1,specific,同義語,咽頭扁桃,Pharyngeal tonsil,
C11.2,specific,優先用語,鼻咽頭（上咽頭）側壁,Lateral wall of nasopharynx,
C11.2,specific,同義語,ローゼンミュラー窩,Fossa of Rosenmuller,
C11.3,specific,優先用語,鼻咽頭（上咽頭）前壁,Anterior wall of nasopharynx,
C11.3,specific,同義語,軟口蓋の鼻咽頭（上咽頭）表面,Nasopharyngeal surface of soft palate,
C11.3,specific,同義語,咽頭円蓋,Pharyngeal fornix,
C11.3,specific,同義語,後鼻孔,Choana,
C11.3,specific,同義語,鼻中隔の後縁,Posterior margin of nasal septum,
C11.8,specific,優先用語,鼻咽頭（上咽頭）の境界部病巣,Overlapping lesion of nasopharynx,
C11.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C11.9,specific,優先用語,鼻咽頭（上咽頭），ＮＯＳ,"Nasopharynx, NOS",
C11.9,specific,同義語,鼻咽頭壁,Nasopharyngeal wall,
C12,category,優先用語,梨状陥凹▼１,PYRIFORM SINUS,
C12.9,specific,優先用語,梨状陥凹,Pyriform sinus,
C12.9,specific,同義語,梨状陥凹,Piriform sinus,
C12.9,specific,同義語,梨状窩,Pyriform fossa,
C12.9,specific,同義語,梨状窩,Piriform fossa,
C13,category,優先用語,下咽頭,HYPOPHARYNX,
C13.0,specific,優先用語,後輪状軟骨部,Postcricoid region,
C13.0,specific,同義語,輪状咽頭,Cricopharynx,
C13.0,specific,同義語,輪状軟骨部，ＮＯＳ,"Cricoid, NOS",
C13.1,specific,優先用語,披裂喉頭蓋ひだの下咽頭面,Hypopharyngeal aspect of aryepiglottic fold,
C13.1,specific,同義語,披裂喉頭蓋ひだ，ＮＯＳ（披裂喉頭蓋ひだ,"Aryepiglottic fold, NOS (excludes laryngeal",
C13.1,specific,同義語,の喉頭面C32.1を除く）,aspect of aryepiglottic fold C32.1),
C13.1,specific,同義語,披裂ひだ,Arytenoid fold,
C13.2,specific,優先用語,下咽頭後壁,Posterior wall of hypopharynx,
C13.8,specific,優先用語,下咽頭の境界部病巣,Overlapping lesion of hypopharynx,
C13.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C13.9,specific,優先用語,下咽頭，ＮＯＳ,"Hypopharynx, NOS",
C13.9,specific,同義語,下咽頭壁,Hypopharyngeal wall,
C13.9,specific,同義語,咽頭喉頭部,Laryngopharynx,
C14,category,優先用語,その他及び部位不明確の口,OTHER AND ILL-DEFINED,
C14,category,同義語,唇，口腔及び咽頭,"SITES IN LIP, ORAL CAVITY AND PHARYNX",
C14.0,specific,優先用語,咽頭，ＮＯＳ,"Pharynx, NOS",
C14.0,specific,同義語,咽頭壁，ＮＯＳ,"Pharyngeal wall, NOS Wall of pharynx, NOS",
C14.0,specific,同義語,咽頭側壁，ＮＯＳ,"Lateral wall of pharynx, NOS",
C14.0,specific,同義語,咽頭後壁，ＮＯＳ,"Posterior wall of pharynx, NOS",
C14.0,specific,同義語,咽頭後部,Retropharynx,
C14.0,specific,同義語,咽喉,Throat,
C14.2,specific,優先用語,ワルダイヤー輪,Waldeyer ring,
C14.8,specific,優先用語,口唇，口腔及び咽頭の境界部病巣,"Overlapping lesion of lip, oral cavity and pharynx",
C14.8,specific,同義語,注：口唇，口腔及び咽頭の新生物〈腫瘍〉,"Note : Neoplasms of lip, oral cavity and",
C14.8,specific,同義語,で，その発生部位が C00-C14.2のい,pharynx whose point of origin,
C14.8,specific,同義語,ずれの項目にも分類されないもの,cannot be assigned to any one of the categories C00 to C14.2.,
C15,category,優先用語,食道▼１,ESOPHAGUS,
C15.0,specific,優先用語,頸部食道,Cervical esophagus,
C15.1,specific,優先用語,胸部食道,Thoracic esophagus,
C15.2,specific,優先用語,腹部食道,Abdominal esophagus,
C15.3,specific,優先用語,上部食道,Upper third of esophagus,
C15.3,specific,同義語,食道近位３分の１,Proximal third of esophagus,
C15.4,specific,優先用語,中部食道,Middle third of esophagus,
C15.5,specific,優先用語,下部食道,Lower third of esophagus,
C15.5,specific,同義語,食道遠位３分の１,Distal third of esophagus,
C15.8,specific,優先用語,食道の境界部病巣,Overlapping lesion of esophagus,
C15.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C15.9,specific,優先用語,食道，ＮＯＳ,"Esophagus, NOS",
C16,category,優先用語,胃,STOMACH,
C16.0,specific,優先用語,噴門，ＮＯＳ,"Cardia, NOS",
C16.0,specific,同義語,胃噴門,Gastric cardia,
C16.0,specific,同義語,噴門食道接合部,Cardioesophageal junction,
C16.0,specific,同義語,食道胃接合部▼１,Esophagogastric junction▼１,
C16.0,specific,同義語,胃食道接合部,Gastroesophageal junction,
C16.1,specific,優先用語,胃底部,Fundus of stomach,
C16.1,specific,同義語,胃底,Gastric fundus,
C16.1,specific,同義語,穹隆部▼１,Fornix▼１,
C16.2,specific,優先用語,胃体部,Body of stomach,
C16.2,specific,同義語,胃体,Corpus of stomach Gastric corpus,
C16.3,specific,優先用語,胃前庭部,Gastric antrum,
C16.3,specific,同義語,幽門前庭,Antrum of stomach Pyloric antrum,
C16.4,specific,優先用語,幽門,Pylorus,
C16.4,specific,同義語,幽門管,Pyloric canal,
C16.4,specific,同義語,幽門前部,Prepylorus,
C16.5,specific,優先用語,胃小彎，ＮＯＳ（C16.1-C16.4に分類され,"Lesser curvature of stomach, NOS (not",
C16.5,specific,同義語,ないもの）,classifiable to C16.1 to C16.4),
C16.6,specific,優先用語,胃大彎，ＮＯＳ（C16.0-C16.4に分類され,"Greater curvature of stomach, NOS (not",
C16.6,specific,同義語,ないもの）,classifiable to C16.0 to C16.4),
C16.8,specific,優先用語,胃の境界部病巣,Overlapping lesion of stomach,
C16.8,specific,同義語,胃前壁，ＮＯＳ（C16.0-C16.4に分類され,"Anterior wall of stomach, NOS (not",
C16.8,specific,同義語,ないもの）,classifiable to C16.0 to C16.4),
C16.8,specific,同義語,胃後壁，ＮＯＳ（C16.0-C16.4に分類され,"Posterior wall of stomach, NOS (not",
C16.8,specific,同義語,ないもの）,classifiable to C16.0 to C16.4),
C16.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C16.9,specific,優先用語,胃，ＮＯＳ,"Stomach, NOS Gastric, NOS",
C17,category,優先用語,小腸,SMALL INTESTINE,
C17.0,specific,優先用語,十二指腸,Duodenum,
C17.1,specific,優先用語,空腸,Jejunum,
C17.2,specific,優先用語,回腸（回盲弁C18.0を除く）,Ileum (excludes ileocecal valve C18.0),
C17.3,specific,優先用語,メッケル憩室（新生物〈腫瘍〉の部位）▼１,Meckel diverticulum (site of neoplasm),
C17.8,specific,優先用語,小腸の境界部病巣,Overlapping lesion of small intestine,
C17.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C17.9,specific,優先用語,小腸，ＮＯＳ,"Small intestine, NOS Small bowel, NOS",
C18,category,優先用語,結腸,COLON,
C18.0,specific,優先用語,盲腸,Cecum,
C18.0,specific,同義語,回盲弁,Ileocecal valve,
C18.0,specific,同義語,回盲接合部,Ileocecal junction,
C18.1,specific,優先用語,虫垂,Appendix,
C18.2,specific,優先用語,上行結腸,Ascending colon,
C18.2,specific,同義語,右結腸,Right colon,
C18.3,specific,優先用語,右結腸曲,Hepatic flexure of colon,
C18.4,specific,優先用語,横行結腸,Transverse colon,
C18.5,specific,優先用語,左結腸曲,Splenic flexure of colon,
C18.6,specific,優先用語,下行結腸,Descending colon,
C18.6,specific,同義語,左結腸,Left colon,
C18.7,specific,優先用語,Ｓ状結腸,Sigmoid colon,
C18.7,specific,同義語,Ｓ状結腸，ＮＯＳ,"Sigmoid, NOS",
C18.7,specific,同義語,結腸のＳ状弯曲,Sigmoid flexure of colon,
C18.7,specific,同義語,骨盤部結腸,Pelvic colon,
C18.8,specific,優先用語,結腸の境界部病巣,Overlapping lesion of colon,
C18.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C18.9,specific,優先用語,結腸，ＮＯＳ,"Colon, NOS",
C18.9,specific,同義語,大腸（直腸，ＮＯＳＣ20.9及び直腸Ｓ状結腸移行部Ｃ19.9を除く）,"Large intestine (excludes rectum, NOS C20.9 and rectosigmoid junction C19.9)",
C18.9,specific,同義語,大腸，ＮＯＳ,"Large bowel, NOS",
C19,category,優先用語,直腸Ｓ状結腸移行部,RECTOSIGMOID JUNCTION,
C19,category,同義語,直腸Ｓ状結腸，ＮＯＳ,"Rectosigmoid, NOS",
C19,category,同義語,直腸Ｓ状結腸,Rectosigmoid colon,
C19,category,同義語,結腸及び直腸,Colon and rectum,
C19,category,同義語,骨盤直腸移行部,Pelvirectal junction,
C19.9,specific,優先用語,直腸Ｓ状結腸移行部,Rectosigmoid junction,
C20,category,優先用語,直腸,RECTUM,
C20.9,specific,優先用語,直腸，ＮＯＳ,"Rectum, NOS",
C20.9,specific,同義語,直腸膨大部,Rectal ampulla,
C21,category,優先用語,肛門及び肛門管,ANUS AND ANAL CANAL,
C21.0,specific,優先用語,肛門，ＮＯＳ（肛門皮膚及び肛門周囲皮膚,"Anus, NOS (excludes skin of anus and",
C21.0,specific,同義語,C44.5を除く）,perianal skin C44.5),
C21.1,specific,優先用語,肛門管,Anal canal,
C21.1,specific,同義語,肛門括約筋,Anal sphincter,
C21.2,specific,優先用語,総排泄腔由来部,Cloacogenic zone,
C21.8,specific,優先用語,直腸，肛門及び肛門管の境界部病巣,"Overlapping lesion of rectum, anus and anal canal",
C21.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C21.8,specific,同義語,肛門直腸移行部,Anorectal junction,
C21.8,specific,同義語,肛門直腸,Anorectum,
C22,category,優先用語,肝及び肝内胆管,LIVER AND INTRAHEPATIC BILE DUCTS,
C22.0,specific,優先用語,肝▼１,Liver,
C22.0,specific,同義語,肝，ＮＯＳ,"Hepatic, NOS",
C22.1,specific,優先用語,肝内胆管,Intrahepatic bile duct,
C22.1,specific,同義語,胆小管,Biliary canaliculus,
C22.1,specific,同義語,細胆管,Cholangiole,
C23,category,優先用語,胆のう,GALLBLADDER,
C23.9,specific,優先用語,胆のう,Gallbladder,
C24,category,優先用語,その他及び部位不明の胆道,OTHER AND UNSPECIFIED PARTS OF BILIARY TRACT,
C24.0,specific,優先用語,肝外胆管,Extrahepatic bile duct,
C24.0,specific,同義語,胆管，ＮＯＳ,"Bile duct, NOS Biliary duct, NOS",
C24.0,specific,同義語,総胆管,Choledochal duct Common bile duct Common duct,
C24.0,specific,同義語,胆のう管▼１,Cystic bile duct Cystic duct,
C24.0,specific,同義語,肝管,Hepatic bile duct Hepatic duct,
C24.0,specific,同義語,オディ括約筋,Sphincter of Oddi,
C24.1,specific,優先用語,ファーテル乳頭膨大部,Ampulla of Vater,
C24.1,specific,同義語,膨大部周囲,Periampullary,
C24.8,specific,優先用語,胆道の境界部病巣,Overlapping lesion of biliary tract,
C24.8,specific,同義語,注：肝内胆管・肝外胆管の両方に連続して,Note : Neoplasms involving both,
C24.8,specific,同義語,病巣がある新生物〈腫瘍〉,intrahepatic and extrahepatic bile ducts,
C24.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C24.9,specific,優先用語,胆道，ＮＯＳ,"Biliary tract, NOS",
C25,category,優先用語,膵,PANCREAS,
C25.0,specific,優先用語,膵頭部,Head of pancreas,
C25.0,specific,同義語,鉤状突起▼１,uncinate process,
C25.1,specific,優先用語,膵体部,Body of pancreas,
C25.2,specific,優先用語,膵尾部,Tail of pancreas,
C25.3,specific,優先用語,膵管,Pancreatic duct,
C25.3,specific,同義語,サントリニ管,Duct of Santorini,
C25.3,specific,同義語,ウィルスング管,Duct of Wirsung,
C25.4,specific,優先用語,ランゲルハンス島,Islets of Langerhans,
C25.4,specific,同義語,内分泌膵,Islands of Langerhans Endocrine pancreas,
C25.7,specific,優先用語,膵のその他の明示された部位,Other specified parts of pancreas,
C25.7,specific,同義語,膵頸部▼１,Neck of pancreas,
C25.8,specific,優先用語,膵の境界部病巣,Overlapping lesion of pancreas,
C25.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C25.9,specific,優先用語,膵，ＮＯＳ,"Pancreas, NOS",
C26,category,優先用語,その他及び部位不明確の消化器,OTHER AND ILL-DEFINED DIGESTIVE ORGANS,
C26.0,specific,優先用語,腸管，ＮＯＳ,"Intestinal tract, NOS",
C26.0,specific,同義語,腸，ＮＯＳ,"Bowel, NOS Intestine, NOS",
C26.8,specific,優先用語,消化器系の境界部病巣,Overlapping lesion of digestive system,
C26.8,specific,同義語,注：消化器系の新生物〈腫瘍〉で，その発,Note : Neoplasms of digestive organs,
C26.8,specific,同義語,生部位がC15-C26.0のいずれの項目,whose point of origin cannot be,
C26.8,specific,同義語,にも分類されないもの,assigned to any one of the categories C15 to C26.0.,
C26.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C26.9,specific,優先用語,胃腸管，ＮＯＳ,"Gastrointestinal tract, NOS",
C26.9,specific,同義語,消化管，ＮＯＳ,"Alimentary tract, NOS",
C26.9,specific,同義語,消化器，ＮＯＳ,"Digestive organs, NOS",
C30,category,優先用語,呼吸器系及び胸腔内臓器,-39 C30-C39 RESPIRATORY SYSTEM AND INTRATHORACIC ORGANS,
C30,category,同義語,鼻腔及び中耳,NASAL CAVITY AND MIDDLE EAR,
C30.0,specific,優先用語,鼻腔（鼻，ＮＯＳ C76.0を除く）,"Nasal cavity (excludes nose, NOS C76.0)",
C30.0,specific,同義語,鼻内部,Internal nose,
C30.0,specific,同義語,鼻孔,Naris,
C30.0,specific,同義語,鼻軟骨,Nasal cartilage,
C30.0,specific,同義語,鼻粘膜,Nasal mucosa,
C30.0,specific,同義語,鼻中隔，ＮＯＳ（鼻中隔の後縁C11.3を除,"Nasal septum, NOS (excludes posterior",
C30.0,specific,同義語,く）,margin of nasal septum C11.3),
C30.0,specific,同義語,鼻甲介,Nasal turbinate,
C30.0,specific,同義語,外鼻孔,Nostril,
C30.0,specific,同義語,鼻前庭,Vestibule of nose,
C30.1,specific,優先用語,中耳,Middle ear,
C30.1,specific,同義語,内耳,Inner ear,
C30.1,specific,同義語,耳管,Auditory tube,
C30.1,specific,同義語,乳突洞,Eustachian tube,
C30.1,specific,同義語,鼓室,Mastoid antrum Tympanic cavity,
C31,category,優先用語,副鼻腔,ACCESSORY SINUSES,
C31.0,specific,優先用語,上顎洞,"Maxillary sinus Maxillary antrum Antrum, NOS",
C31.1,specific,優先用語,篩骨洞,Ethmoid sinus,
C31.2,specific,優先用語,前頭洞,Frontal sinus,
C31.3,specific,優先用語,蝶形骨洞,Sphenoid sinus,
C31.8,specific,優先用語,副鼻腔の境界部病巣,Overlapping lesion of accessory sinuses,
C31.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C31.9,specific,優先用語,副鼻腔，ＮＯＳ,"Accessory sinus, NOS Accessory nasal sinus Paranasal sinus",
C32,category,優先用語,喉頭,LARYNX,
C32.0,specific,優先用語,声門,Glottis,
C32.0,specific,同義語,内喉頭,Intrinsic larynx,
C32.0,specific,同義語,喉頭交連,Laryngeal commissure,
C32.0,specific,同義語,声帯，ＮＯＳ,"Vocal cord, NOS",
C32.0,specific,同義語,真性声帯,True vocal cord True cord,
C32.1,specific,優先用語,声門上部,Supraglottis,
C32.1,specific,同義語,喉頭蓋，ＮＯＳ（喉頭蓋前面C10.1を除く）,"Epiglottis, NOS (excludes anterior surface of epiglottis C10.1)",
C32.1,specific,同義語,外喉頭,Extrinsic larynx,
C32.1,specific,同義語,披裂喉頭蓋ひだの喉頭面▼１,Laryngeal aspect of aryepiglottic fold,
C32.1,specific,同義語,喉頭蓋後面,Posterior surface of epiglottis,
C32.1,specific,同義語,喉頭の偽声帯,Ventricular band of larynx,
C32.1,specific,同義語,仮声帯,False vocal cord False cord,
C32.2,specific,優先用語,声門下部,Subglottis,
C32.3,specific,優先用語,喉頭軟骨,Laryngeal cartilage,
C32.3,specific,同義語,披裂軟骨,Arytenoid cartilage,
C32.3,specific,同義語,輪状軟骨,Cricoid cartilage,
C32.3,specific,同義語,楔状軟骨,Cuneiform cartilage,
C32.3,specific,同義語,甲状軟骨,Thyroid cartilage,
C32.8,specific,優先用語,喉頭の境界部病巣,Overlapping lesion of larynx,
C32.8,specific,同義語,（73ページの注を参照）,(see note page 45),
C32.9,specific,優先用語,喉頭，ＮＯＳ,"Larynx, NOS",
C33,category,優先用語,気管,TRACHEA,
C33.9,specific,優先用語,気管,Trachea,
C34,category,優先用語,気管支及び肺,BRONCHUS AND LUNG,
C34.0,specific,優先用語,主気管支,Main bronchus,
C34.0,specific,同義語,分岐部,Carina,
C34.0,specific,同義語,肺門部 中間幹▼１,Hilus of lung,
C34.1,specific,優先用語,上葉，肺,"Upper lobe, lung",
C34.1,specific,同義語,肺小舌,Lingula of lung,
C34.1,specific,同義語,上葉，気管支,"Upper lobe, bronchus",
C34.2,specific,優先用語,中葉，肺,"Middle lobe, lung",
C34.2,specific,同義語,中葉，気管支,"Middle lobe, bronchus",
C34.3,specific,優先用語,下葉，肺,"Lower lobe, lung",
C34.3,specific,同義語,下葉，気管支,"Lower lobe, bronchus",
