MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,値,手術フラグ,年齢，出生時体重別の値,対応ｺｰﾄﾞ,手術１,,手術２,,手術３,,手術４,,手術５,,変更区分,有効期間,,更新日
01,0030,,01,,01,脳動脈瘤流入血管クリッピング（開頭して行うもの）　２箇所以上,K1762,動脈形成術、吻合術　頭蓋内動脈,K6101,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤頸部クリッピング　１箇所,K1771,,,,,,,,,0,20240601,99999999,00000000
01,0030,,01,,01,脳動脈瘤頸部クリッピング　２箇所以上,K1772,,,,,,,,,0,20240601,99999999,00000000
01,0040,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0040,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0040,,08,,02,水頭症手術　シャント手術,K1742,,,,,,,,,0,20240601,99999999,00000000
01,0040,,05,,02,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0040,,07,,01,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0040,,04,,01,機能的定位脳手術　片側の場合,K1541,,,,,,,,,0,20240601,99999999,00000000
01,0040,,04,,01,機能的定位脳手術　両側の場合,K1542,,,,,,,,,0,20240601,99999999,00000000
01,0040,,03,,01,頭蓋内血腫除去術（開頭して行うもの）　脳内のもの,K1643,,,,,,,,,0,20240601,99999999,00000000
01,0040,,03,,01,定位的脳内血腫除去術,K164-4,,,,,,,,,0,20240601,99999999,00000000
01,0040,,03,,01,内視鏡下脳内血腫除去術,K164-5,,,,,,,,,0,20240601,99999999,00000000
01,0040,,02,,01,動脈形成術、吻合術　頭蓋内動脈,K6101,,,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳動静脈奇形摘出術　単純なもの,K1721,,,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳動静脈奇形摘出術　複雑なもの,K1722,,,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　１箇所,K1781,脳動静脈奇形摘出術　単純なもの,K1721,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　１箇所,K1781,脳動静脈奇形摘出術　複雑なもの,K1722,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　２箇所以上,K1782,脳動静脈奇形摘出術　単純なもの,K1721,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　２箇所以上,K1782,脳動静脈奇形摘出術　複雑なもの,K1722,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　脳血管内ステントを用いるもの,K1783,脳動静脈奇形摘出術　単純なもの,K1721,,,,,,,0,20240601,99999999,00000000
01,0040,,01,,01,脳血管内手術　脳血管内ステントを用いるもの,K1783,脳動静脈奇形摘出術　複雑なもの,K1722,,,,,,,0,20240601,99999999,00000000
01,0050,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0050,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0050,,04,,02,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0050,,03,,02,穿頭術（トレパナチオン）,K147,,,,,,,,,0,20240601,99999999,00000000
01,0050,,02,,02,慢性硬膜下血腫穿孔洗浄術,K164-2,,,,,,,,,0,20240601,99999999,00000000
01,0050,,01,,01,頭蓋内血腫除去術（開頭して行うもの）　硬膜下のもの,K1642,,,,,,,,,0,20240601,99999999,00000000
01,0060,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0060,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,脳血管内手術　１箇所,K1781,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,脳血管内手術　２箇所以上,K1782,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的脳血管形成術,K178-2,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,脳血管内手術　脳血管内ステントを用いるもの,K1783,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的選択的脳血栓・塞栓溶解術　頭蓋内脳血管の場合,K178-31,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的選択的脳血栓・塞栓溶解術　頸部脳血管の場合（内頸動脈、椎骨動脈）,K178-32,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的脳血栓回収術,K178-4,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的脳血管ステント留置術,K178-5,,,,,,,,,0,20240601,99999999,00000000
01,0060,,01,,02,経皮的頸動脈ステント留置術,K609-2,,,,,,,,,0,20240601,99999999,00000000
01,0060,,04,,01,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0060,,04,,01,頭蓋内血腫除去術（開頭して行うもの）　脳内のもの,K1643,,,,,,,,,0,20240601,99999999,00000000
01,0060,,04,,01,定位的脳内血腫除去術,K164-4,,,,,,,,,0,20240601,99999999,00000000
01,0060,,04,,01,内視鏡下脳内血腫除去術,K164-5,,,,,,,,,0,20240601,99999999,00000000
01,0060,,04,,01,動脈形成術、吻合術　その他の動脈,K6105,,,,,,,,,0,20240601,99999999,00000000
01,0060,,03,,01,動脈血栓内膜摘出術　大動脈に及ぶもの,K6091,,,,,,,,,0,20240601,99999999,00000000
01,0060,,03,,01,動脈血栓内膜摘出術　内頸動脈,K6092,,,,,,,,,0,20240601,99999999,00000000
01,0060,,03,,01,動脈血栓内膜摘出術　その他のもの,K6093,,,,,,,,,0,20240601,99999999,00000000
01,0060,,02,,01,動脈形成術、吻合術　頭蓋内動脈,K6101,,,,,,,,,0,20240601,99999999,00000000
01,0061,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0061,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0069,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0069,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0070,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0070,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,水頭症手術　脳室穿破術（神経内視鏡手術によるもの）,K1741,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,水頭症手術　シャント手術,K1742,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,水頭症手術　シャント再建術　頭側のもの,K1743ｲ,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,水頭症手術　シャント再建術　頭側及び腹側のもの,K1743ﾊ,,,,,,,,,0,20240601,99999999,00000000
01,0070,,03,,97,水頭症手術　シャント再建術　腹側のもの,K1743ﾛ,,,,,,,,,0,20240601,99999999,00000000
01,0070,,02,,97,頭蓋骨形成手術　頭蓋骨のみのもの,K1801,,,,,,,,,0,20240601,99999999,00000000
01,0070,,02,,97,頭蓋骨形成手術　硬膜形成を伴うもの,K1802,,,,,,,,,0,20240601,99999999,00000000
01,0070,,02,,97,頭蓋骨形成手術　骨移動を伴うもの,K1803,,,,,,,,,0,20240601,99999999,00000000
01,0070,,11,,02,経皮的頸動脈ステント留置術,K609-2,,,,,,,,,0,20240601,99999999,00000000
01,0070,,10,,01,四肢の血管拡張術・血栓除去術,K616,,,,,,,,,0,20240601,99999999,00000000
01,0070,,09,,01,脳新生血管造成術,K610-2,,,,,,,,,0,20240601,99999999,00000000
01,0070,,08,,01,経皮的脳血管形成術,K178-2,,,,,,,,,0,20240601,99999999,00000000
01,0070,,07,,01,動脈形成術、吻合術　頭蓋内動脈,K6101,,,,,,,,,0,20240601,99999999,00000000
01,0070,,06,,01,動脈血栓内膜摘出術　内頸動脈,K6092,,,,,,,,,0,20240601,99999999,00000000
01,0070,,01,,01,脳血管内手術　１箇所,K1781,,,,,,,,,0,20240601,99999999,00000000
01,0070,,01,,01,脳血管内手術　２箇所以上,K1782,,,,,,,,,0,20240601,99999999,00000000
01,0070,,01,,01,脳血管内手術　脳血管内ステントを用いるもの,K1783,,,,,,,,,0,20240601,99999999,00000000
01,0080,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0080,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0080,,09,,97,内視鏡下鼻・副鼻腔手術ＩＩＩ型（選択的（複数洞）副鼻腔手術）,K340-5,,,,,,,,,0,20240601,99999999,00000000
01,0080,,08,,97,鼻性頭蓋内合併症手術,K153,,,,,,,,,0,20240601,99999999,00000000
01,0080,,07,,97,脊椎固定術、椎弓切除術、椎弓形成術（多椎間又は多椎弓の場合を含む。）　椎弓形成,K1426,,,,,,,,,0,20240601,99999999,00000000
01,0080,,06,,97,脊椎固定術、椎弓切除術、椎弓形成術（多椎間又は多椎弓の場合を含む。）　椎弓切除,K1425,,,,,,,,,0,20240601,99999999,00000000
01,0080,,05,,97,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0080,,03,,97,穿頭脳室ドレナージ術,K145,,,,,,,,,0,20240601,99999999,00000000
01,0080,,03,,97,脳膿瘍排膿術,K150,,,,,,,,,0,20240601,99999999,00000000
01,0080,,02,,97,水頭症手術　脳室穿破術（神経内視鏡手術によるもの）,K1741,,,,,,,,,0,20240601,99999999,00000000
01,0080,,02,,97,水頭症手術　シャント手術,K1742,,,,,,,,,0,20240601,99999999,00000000
01,0080,,02,,97,水頭症手術　シャント再建術　頭側のもの,K1743ｲ,,,,,,,,,0,20240601,99999999,00000000
01,0080,,02,,97,水頭症手術　シャント再建術　頭側及び腹側のもの,K1743ﾊ,,,,,,,,,0,20240601,99999999,00000000
01,0080,,02,,97,水頭症手術　シャント再建術　腹側のもの,K1743ﾛ,,,,,,,,,0,20240601,99999999,00000000
01,0080,,01,,97,脳膿瘍全摘術,K166,,,,,,,,,0,20240601,99999999,00000000
01,0080,,01,,97,頭蓋内腫瘤摘出術,K167,,,,,,,,,0,20240601,99999999,00000000
01,0081,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0081,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0083,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0083,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0086,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0086,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0089,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0089,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0090,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0090,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0095,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0095,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0100,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0100,,97,,97,手術あり,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0110,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0110,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0110,,06,,97,神経移植術,K198,,,,,,,,,0,20240601,99999999,00000000
01,0110,,05,,97,神経移行術,K197,,,,,,,,,0,20240601,99999999,00000000
01,0110,,04,,97,神経剥離術　鏡視下によるもの,K1881,,,,,,,,,0,20240601,99999999,00000000
01,0110,,04,,97,神経剥離術　その他のもの,K1882,,,,,,,,,0,20240601,99999999,00000000
01,0110,,03,,97,神経縫合術　指（手、足）,K1821,,,,,,,,,0,20240601,99999999,00000000
01,0110,,03,,97,神経縫合術　その他のもの,K1822,,,,,,,,,0,20240601,99999999,00000000
01,0110,,02,,97,手根管開放手術,K093,,,,,,,,,0,20240601,99999999,00000000
01,0110,,02,,97,関節鏡下手根管開放手術,K093-2,,,,,,,,,0,20240601,99999999,00000000
01,0110,,01,,97,腱移行術　指（手、足）,K0401,,,,,,,,,0,20240601,99999999,00000000
01,0110,,01,,97,腱移行術　その他のもの,K0402,,,,,,,,,0,20240601,99999999,00000000
01,0110,,01,,97,腓骨筋腱腱鞘形成術,K040-3,,,,,,,,,0,20240601,99999999,00000000
01,0111,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0111,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0111,,06,,97,神経移植術,K198,,,,,,,,,0,20240601,99999999,00000000
01,0111,,05,,97,神経移行術,K197,,,,,,,,,0,20240601,99999999,00000000
01,0111,,04,,97,神経剥離術　鏡視下によるもの,K1881,,,,,,,,,0,20240601,99999999,00000000
01,0111,,04,,97,神経剥離術　その他のもの,K1882,,,,,,,,,0,20240601,99999999,00000000
01,0111,,03,,97,神経縫合術　指（手、足）,K1821,,,,,,,,,0,20240601,99999999,00000000
01,0111,,03,,97,神経縫合術　その他のもの,K1822,,,,,,,,,0,20240601,99999999,00000000
01,0111,,02,,97,手根管開放手術,K093,,,,,,,,,0,20240601,99999999,00000000
01,0111,,02,,97,関節鏡下手根管開放手術,K093-2,,,,,,,,,0,20240601,99999999,00000000
01,0111,,01,,97,腱移行術　指（手、足）,K0401,,,,,,,,,0,20240601,99999999,00000000
01,0111,,01,,97,腱移行術　その他のもの,K0402,,,,,,,,,0,20240601,99999999,00000000
01,0111,,01,,97,腓骨筋腱腱鞘形成術,K040-3,,,,,,,,,0,20240601,99999999,00000000
01,0120,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0120,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0120,,06,,01,減圧開頭術　その他の場合,K1492,,,,,,,,,0,20240601,99999999,00000000
01,0120,,05,,01,喉頭粘膜下異物挿入術,K388,,,,,,,,,0,20240601,99999999,00000000
01,0120,,04,,01,筋膜移植術　指（手、足）,K0331,,,,,,,,,0,20240601,99999999,00000000
01,0120,,04,,01,筋膜移植術　その他のもの,K0332,,,,,,,,,0,20240601,99999999,00000000
01,0120,,03,,01,喉頭切開・截開術,K383,,,,,,,,,0,20240601,99999999,00000000
01,0120,,02,,01,脳神経手術（開頭して行うもの）,K160,,,,,,,,,0,20240601,99999999,00000000
01,0120,,02,,01,頭蓋内微小血管減圧術,K160-2,,,,,,,,,0,20240601,99999999,00000000
01,0120,,01,,01,三叉神経節後線維切截術,K157,,,,,,,,,0,20240601,99999999,00000000
01,0120,,01,,01,顔面神経減圧手術（乳様突起経由）,K159,,,,,,,,,0,20240601,99999999,00000000
01,0120,,01,,01,顔面神経管開放術,K159-2,,,,,,,,,0,20240601,99999999,00000000
01,0130,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0130,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0130,,05,,97,胸腔鏡下良性縦隔腫瘍手術,K513-2,,,,,,,,,0,20240601,99999999,00000000
01,0130,,04,,97,胸腔鏡下肺悪性腫瘍手術　部分切除,K514-21,,,,,,,,,0,20240601,99999999,00000000
01,0130,,04,,97,胸腔鏡下肺悪性腫瘍手術　区域切除,K514-22,,,,,,,,,0,20240601,99999999,00000000
01,0130,,04,,97,胸腔鏡下肺悪性腫瘍手術　肺葉切除又は１肺葉を超えるもの,K514-23,,,,,,,,,0,20240601,99999999,00000000
01,0130,,04,,97,胸腔鏡下肺悪性腫瘍手術　気管支形成を伴う肺切除,K514-24,,,,,,,,,0,20240601,99999999,00000000
01,0130,,04,,97,胸腔鏡下肺悪性腫瘍手術　肺全摘,K514-25,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　部分切除,K5141,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　壁側・臓側胸膜全切除（横隔膜、心膜合併切除を伴うもの）,K51410,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　区域切除,K5142,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　肺葉切除又は１肺葉を超えるもの,K5143,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　肺全摘,K5144,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　隣接臓器合併切除を伴う肺切除,K5145,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　気管支形成を伴う肺切除,K5146,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　気管分岐部切除を伴う肺切除,K5147,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　気管分岐部再建を伴う肺切除,K5148,,,,,,,,,0,20240601,99999999,00000000
01,0130,,03,,97,肺悪性腫瘍手術　胸膜肺全摘,K5149,,,,,,,,,0,20240601,99999999,00000000
01,0130,,02,,97,縦隔悪性腫瘍手術　単純摘出,K5041,,,,,,,,,0,20240601,99999999,00000000
01,0130,,02,,97,縦隔悪性腫瘍手術　広汎摘出,K5042,,,,,,,,,0,20240601,99999999,00000000
01,0130,,02,,97,胸腔鏡下縦隔悪性腫瘍手術,K504-2,,,,,,,,,0,20240601,99999999,00000000
01,0130,,01,,97,縦隔腫瘍、胸腺摘出術,K502,,,,,,,,,0,20240601,99999999,00000000
01,0130,,01,,97,拡大胸腺摘出術,K502-4,,,,,,,,,0,20240601,99999999,00000000
01,0130,,01,,97,胸腔鏡下拡大胸腺摘出術,K502-5,,,,,,,,,0,20240601,99999999,00000000
01,0140,,99,,99,手術なし,KKK0,,,,,,,,,0,20240601,99999999,00000000
01,0140,,97,,97,定義テーブルにない手術,KKK1,,,,,,,,,0,20240601,99999999,00000000
01,0140,,04,,97,創傷処理　筋肉、臓器に達するもの（長径５センチメートル未満）,K0001,,,,,,,,,0,20240601,99999999,00000000
01,0140,,04,,97,小児創傷処理（６歳未満）　筋肉、臓器に達するもの（長径２．５センチメートル未満）,K000-21,,,,,,,,,0,20240601,99999999,00000000
