MDCｺｰﾄﾞ,分類ｺｰﾄﾞ,対応ｺｰﾄﾞ,処置2ﾌﾗｸﾞ,処置等(1),,処置等(2),,変更区分,有効期間,,更新日
01,0060,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0060,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0060,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0061,1,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0061,1,4,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0061,1,4,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0061,1,4,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0061,1,4,非放射性キセノン脳血流動態検査,E201,,,0,20220401,99999999,00000000
01,0069,2,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0069,2,4,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0069,2,4,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0069,2,4,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0069,2,4,非放射性キセノン脳血流動態検査,E201,,,0,20220401,99999999,00000000
01,0069,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0069,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0069,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0069,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0069,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0069,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0070,2,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0070,2,4,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0070,2,4,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0070,2,4,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0070,2,4,非放射性キセノン脳血流動態検査,E201,,,0,20220401,99999999,00000000
01,0070,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0070,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0070,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0070,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0070,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0070,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0080,4,9,ガンマグロブリン,0003,,,0,20220401,99999999,00000000
01,0080,1,4,インターフェロン,0002,,,0,20220401,99999999,00000000
01,0080,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0080,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0080,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0080,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0080,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0081,4,9,ガンマグロブリン,0003,,,0,20220401,99999999,00000000
01,0081,3,5,血漿交換療法,J039,,,0,20220401,99999999,00000000
01,0081,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0081,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0081,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0081,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0081,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0083,1,9,ガンマグロブリン,0003,,,0,20220401,99999999,00000000
01,0083,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0083,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0083,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0083,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0083,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0083,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0086,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0086,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0086,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0086,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0086,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0086,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0089,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0089,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0089,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0089,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0089,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0089,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0090,4,9,ナタリズマブ,0152,,,0,20220401,99999999,00000000
01,0090,4,9,オファツムマブ（皮下注用に限る。）,0294,,,0,20220401,99999999,00000000
01,0090,3,8,インターフェロン,0002,,,0,20220401,99999999,00000000
01,0090,3,8,グラチラマー酢酸塩,0151,,,0,20220401,99999999,00000000
01,0090,2,5,血漿交換療法,J039,,,0,20220401,99999999,00000000
01,0090,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0090,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0090,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0090,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0090,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0100,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0100,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0100,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0100,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0100,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0110,4,9,ガンマグロブリン,0003,,,0,20220401,99999999,00000000
01,0110,3,5,血漿交換療法,J039,,,0,20220401,99999999,00000000
01,0110,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0110,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0110,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0110,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0110,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0111,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0111,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0111,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0111,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0111,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0120,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0120,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0120,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0120,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0120,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0120,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0130,4,9,ガンマグロブリン,0003,,,0,20220401,99999999,00000000
01,0130,3,5,血漿交換療法,J039,,,0,20220401,99999999,00000000
01,0130,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0130,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0130,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0130,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0130,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0140,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0140,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0140,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0140,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0140,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0155,4,5,オナセムノゲン　アベパルボベク,0273,,,0,20220401,99999999,00000000
01,0155,3,4,ヌシネルセンナトリウム,0255,,,0,20220401,99999999,00000000
01,0155,3,4,リスジプラム,0284,,,0,20220401,99999999,00000000
01,0155,2,3,エダラボン,0049,,,0,20220401,99999999,00000000
01,0155,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0155,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0155,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0155,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0155,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0160,2,4,レボドパ／カルビドパ（経腸用液に限る。）,0300,,,0,20220401,99999999,00000000
01,0160,1,3,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0160,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0160,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0160,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0160,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0160,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0170,1,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0170,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0170,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0170,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0170,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0170,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0180,1,9,Ａ型ボツリヌス毒素,0017,,,0,20220401,99999999,00000000
01,0190,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0190,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0190,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0190,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0190,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0200,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0200,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0200,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0200,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0200,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,021x,1,5,リハビリテーション,0007,,,0,20220401,99999999,00000000
01,021x,1,5,精神科専門療法,0014,,,0,20220401,99999999,00000000
01,021x,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,021x,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,021x,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,021x,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,021x,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,021x,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0220,1,4,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0220,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0220,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0220,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0220,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0220,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0220,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0230,4,5,長期脳波ビデオ同時記録検査１,D235-31,,,0,20220401,99999999,00000000
01,0230,3,4,ラコサミド（点滴静注用に限る。）,0299,,,0,20220401,99999999,00000000
01,0230,3,4,ペランパネル（点滴静注用に限る。）,0346,,,3,20240417,99999999,20240417
01,0230,2,3,ＳＰＥＣＴ,E101,,,0,20220401,99999999,00000000
01,0230,2,3,ポジトロン断層撮影　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-21,,,0,20220401,99999999,00000000
01,0230,2,3,ポジトロン断層撮影　１８ＦＤＧを用いた場合（一連の検査につき）,E101-22,,,0,20220401,99999999,00000000
01,0230,2,3,ポジトロン断層撮影　１３Ｎ標識アンモニア剤を用いた場合（一連の検査につき）,E101-23,,,0,20220401,99999999,00000000
01,0230,2,3,ポジトロン断層・コンピューター断層複合撮影（一連の検査につき）　１５Ｏ標識ガス剤を用いた場合（一連の検査につき）,E101-31,,,0,20220401,99999999,00000000
01,0230,2,3,ポジトロン断層・コンピューター断層複合撮影（一連の検査につき）　１８ＦＤＧを用いた場合（一連の検査につき）,E101-32,,,0,20220401,99999999,00000000
01,0230,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0230,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0230,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0230,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0230,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0260,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0270,1,5,血漿交換療法,J039,,,0,20220401,99999999,00000000
01,0270,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0270,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0270,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0270,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0270,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0270,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0280,1,9,Ａ型ボツリヌス毒素,0017,,,0,20220401,99999999,00000000
01,0290,1,3,人工腎臓　その他の場合,J0384,,,0,20220401,99999999,00000000
01,0290,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0290,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0290,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0290,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0290,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0300,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0300,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0300,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0300,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
01,0310,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
01,0310,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
01,0310,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
01,0310,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
01,0310,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
02,001x,2,9,ニボルマブ,0153,,,0,20220401,99999999,00000000
02,001x,2,9,ペムブロリズマブ,0204,,,0,20220401,99999999,00000000
02,001x,2,9,アベルマブ,0212,,,0,20220401,99999999,00000000
02,001x,1,8,化学療法,0005,,,0,20220401,99999999,00000000
02,001x,1,6,放射線療法,0008,,,0,20220401,99999999,00000000
02,001x,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
02,001x,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
02,001x,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
02,001x,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
02,001x,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
02,0040,1,8,化学療法,0005,,,0,20220401,99999999,00000000
02,0040,1,6,放射線療法,0008,,,0,20220401,99999999,00000000
02,0040,1,2,中心静脈注射,G005,,,0,20220401,99999999,00000000
02,0040,1,1,人工呼吸　３０分までの場合,J0451,,,0,20220401,99999999,00000000
02,0040,1,1,人工呼吸　３０分を超えて５時間までの場合,J0452,,,0,20220401,99999999,00000000
02,0040,1,1,人工呼吸　５時間を超えた場合（１日につき）　１４日目まで,J0453ｲ,,,0,20220401,99999999,00000000
02,0040,1,1,人工呼吸　５時間を超えた場合（１日につき）　１５日目以降,J0453ﾛ,,,0,20220401,99999999,00000000
02,006x,1,6,放射線療法,0008,,,0,20220401,99999999,00000000
02,0100,1,8,化学療法,0005,,,0,20220401,99999999,00000000
02,0100,1,6,放射線療法,0008,,,0,20220401,99999999,00000000
